# model: amount | arm: nocarve | features: fixed
# optb_max_bins: 5 | optb_ordinals: categorical | optb_bin_numericals: no
# n_trials: 400 | seeds: [42, 1, 7, 2026] | smoke: False
# n_modelled_features: 200
# selection_seconds: 0.0
# tweedie_power_for_deviance: 1.7
# fixed_feature_list: fixed_features_amount.json
# ordinals_rank_encoded: 81
seed,rmse_train,rmse_dev,charge_rmse_train,charge_rmse_dev,spearman_dev,top_decile_lift_dev,tweedie_deviance_dev,max_depth,n_estimators,minutes
42,6657.742803738473,6601.001713359551,6769.624770194412,6621.9202797682865,0.007589167210255795,2.7231263778588395,42.561285852590295,2,480,65.4
1,6655.409031749089,6600.716220741776,6767.013324697671,6622.328889072776,0.0035653341577387117,2.429119041309725,43.46418919408039,2,447,69.0
7,1993.8824016404487,6530.195659354042,3173.085277779025,6569.844049886026,0.01588537645408361,2.3733911955651052,4148333.343062782,9,339,64.9
2026,6628.432211908401,6590.883962464056,6744.621863329877,6610.804037685769,0.00615708880724326,2.209959170865449,43.063198448569715,2,156,54.3
