seed,rmse_train,rmse_dev,charge_rmse_train,charge_rmse_dev,max_depth,n_estimators,minutes
42,6888.927095479314,6469.6972025111745,7031.15579812017,6482.842161889131,1,570,67.9
1,6711.765096326885,6612.8590125244245,6828.947707336518,6638.054627204837,1,508,69.9
7,6726.736608064028,6591.495195675813,6842.2518826769165,6614.95599811788,1,347,62.1
2026,6371.5704151498785,6608.91158121388,6481.840809155302,6633.158545260598,4,128,51.1
