# model: amount | arm: autocarver | features: fixed
# optb_max_bins: 5 | optb_ordinals: categorical | optb_bin_numericals: no
# n_trials: 400 | seeds: [42, 1, 7, 2026] | smoke: False
# n_modelled_features: 200
# selection_seconds: 0.0
# tweedie_power_for_deviance: 1.7
# fixed_feature_list: fixed_features_amount.json
# binning_fit_seconds: 66.4
# n_dropped_by_veto: 0
# total_bins: 466
seed,rmse_train,rmse_dev,charge_rmse_train,charge_rmse_dev,spearman_dev,top_decile_lift_dev,tweedie_deviance_dev,max_depth,n_estimators,minutes
42,6888.927095479314,6469.6972025111745,7031.15579812017,6482.842161889131,0.003494543538023201,3.4155255541162832,64.91106517870271,1,570,65.3
1,6711.765096326885,6612.8590125244245,6828.947707336518,6638.054627204837,0.02041373712588774,4.1204298128546,39.86954375685945,1,508,66.0
7,6726.736608064028,6591.495195675813,6842.2518826769165,6614.95599811788,0.008725134799282394,3.6777292896349545,50.148765993021996,1,347,60.7
2026,6371.5704151498785,6608.91158121388,6481.840809155302,6633.158545260598,0.005064658227245778,2.1693285017989155,46.54119332479275,4,128,52.1
