seed,log_loss_train,log_loss_dev,max_depth,n_estimators,minutes
42,0.7819988979524337,0.9199100734725815,2,109,41.5
1,0.8529210435285756,0.9246143245272799,1,312,48.0
7,0.8197446755859414,0.9207397238839483,1,134,53.5
2026,0.7597415240233021,0.9145278708853299,2,110,42.7
