# model: amount | arm: optbinning | features: full
# optb_max_bins: 5 | optb_ordinals: categorical | optb_bin_numericals: no
# n_trials: 400 | seeds: [42, 1, 7, 2026] | smoke: False
# n_modelled_features: 200
# selection_seconds: 101.6
# tweedie_power_for_deviance: 1.7
# ordinals_rank_encoded: 0
# binning_fit_seconds: 24.4
# n_binned_columns: 431
# n_raw_numericals_passed_through: 115
# total_bins: 1521
# mean_bins: 3.529
# n_single_bin: 35
seed,rmse_train,rmse_dev,charge_rmse_train,charge_rmse_dev,spearman_dev,top_decile_lift_dev,tweedie_deviance_dev,max_depth,n_estimators,minutes
42,6567.714233214487,6604.341065008229,6675.103209425139,6627.803182095489,5.436795233687841e-05,1.574862367647531,860381.222746725,4,227,67.4
1,6714.379456435633,6614.644152262792,6832.260593359675,6641.1073769729155,0.017823798536349862,4.136539893629036,41.821252294341285,1,109,58.9
7,6715.271412513971,6615.001075440502,6832.7315998556,6641.267604105736,0.017967165519026832,4.084594482751479,41.75999715733631,1,120,57.3
2026,4100.051872156206,6613.874254736554,4308.838815406724,6660.491118241001,-0.004927849986873674,1.3353529411074359,2404.8375169626656,9,136,79.2
