# model: amount | arm: autocarver | features: fixed
# optb_max_bins: 5 | optb_ordinals: categorical | optb_bin_numericals: no
# n_trials: 400 | seeds: [42, 1, 7, 2026] | smoke: False
# n_modelled_features: 200
# selection_seconds: 0.0
# tweedie_power_for_deviance: 1.7
# fixed_feature_list: fixed_features_amount.json
# binning_fit_seconds: 60.6
# n_dropped_by_veto: 0
# total_bins: 466
seed,rmse_train,rmse_dev,charge_rmse_train,charge_rmse_dev,spearman_dev,top_decile_lift_dev,tweedie_deviance_dev,max_depth,n_estimators,minutes
42,6712.176717896369,6613.164608492941,6829.533324077878,6637.94030968439,0.015407137802554727,2.9117507767902273,40.785626982835105,1,138,38.2
1,6694.324691583774,6611.928327122194,6809.379584128218,6635.519577779989,0.021628144534348036,3.9132329629249667,40.60038381289218,2,316,58.6
7,6700.599404361249,6610.291167849089,6816.198644891598,6633.85161378392,0.02189222879116267,4.096945258819525,40.76138875429994,2,112,56.2
2026,6704.594294120793,6612.173505125277,6820.857196093134,6636.557287044964,0.012850953973310817,3.6070164941714893,40.113667169658186,1,337,60.2
