# model: frequency | arm: autocarver | features: fixed
# optb_max_bins: 5 | optb_ordinals: categorical | optb_bin_numericals: no
# n_trials: 300 | seeds: [42, 1, 7, 2026] | smoke: False
# n_modelled_features: 100
# selection_seconds: 0.0
# tweedie_power_for_deviance: 1.7
# fixed_feature_list: fixed_features_frequency.json
# binning_fit_seconds: 33.8
# n_dropped_by_veto: 0
# total_bins: 103
seed,log_loss_train,log_loss_dev,max_depth,n_estimators,minutes
42,0.8236980024083028,0.9247344153159757,1,373,48.4
1,0.8378181023406428,0.925134934452836,1,428,57.5
7,0.8384278444669068,0.9199327525912271,1,281,52.4
2026,0.7595148711626438,0.9165573125332728,2,121,34.1
