# model: amount | arm: nocarve | features: fixed
# optb_max_bins: 5 | optb_ordinals: categorical | optb_bin_numericals: no
# n_trials: 400 | seeds: [42, 1, 7, 2026] | smoke: False
# n_modelled_features: 200
# selection_seconds: 0.0
# tweedie_power_for_deviance: 1.7
# fixed_feature_list: fixed_features_amount.json
# ordinals_rank_encoded: 81
seed,rmse_train,rmse_dev,charge_rmse_train,charge_rmse_dev,spearman_dev,top_decile_lift_dev,tweedie_deviance_dev,max_depth,n_estimators,minutes
42,6578.244625325383,6574.927327227861,6690.366049758312,6587.790376862526,0.007453564666023373,2.5863464521224246,64.09674143275548,2,339,56.8
1,6669.278669670009,6582.28200297648,6792.340972374882,6615.378169547542,0.004579581367355096,1.804412980117068,638532.9929680497,3,273,46.2
7,6589.524622056657,6593.931489856998,6704.100814616607,6611.193164808739,0.0014384471833649708,2.3293328893634384,48.31426175579263,2,222,58.6
2026,6647.661549072903,6594.731239076792,6759.32210979399,6613.095256057806,0.0049902411688033535,2.1994361077154667,44.40615095756977,2,131,45.8
